antecedent,risk,support,confidence,lift
"DBP_high, SBP_high",Risk_high,0.082039911308204,1.0,4.026785714285714
"DBP_high, SBP_high, Temp_normal",Risk_high,0.07538802660753881,1.0,4.026785714285714
"Age_older, DBP_high, SBP_high, Temp_normal",Risk_high,0.04434589800443459,1.0,4.026785714285714
"Age_adult, DBP_high, SBP_high, Temp_normal",Risk_high,0.031042128603104215,1.0,4.026785714285714
"Age_older, BS_high, DBP_high, SBP_high",Risk_high,0.04656319290465632,1.0,4.026785714285714
"BS_high, DBP_high, SBP_high, Temp_normal",Risk_high,0.06873614190687362,1.0,4.026785714285714
"Age_adult, SBP_high",Risk_high,0.03547671840354767,1.0,4.026785714285714
"BS_high, SBP_high",Risk_high,0.082039911308204,1.0,4.026785714285714
"BS_high, DBP_high, SBP_high",Risk_high,0.07095343680709534,1.0,4.026785714285714
"Age_older, BS_high, SBP_high, Temp_normal",Risk_high,0.04878048780487805,1.0,4.026785714285714
"Age_older, BS_high, SBP_high",Risk_high,0.05321507760532151,1.0,4.026785714285714
"Age_older, DBP_high, SBP_high",Risk_high,0.04878048780487805,1.0,4.026785714285714
"BS_high, SBP_high, Temp_normal",Risk_high,0.07760532150776053,1.0,4.026785714285714
"Age_adult, DBP_high, SBP_high",Risk_high,0.031042128603104215,1.0,4.026785714285714
"Age_adult, SBP_high, Temp_normal",Risk_high,0.03547671840354767,1.0,4.026785714285714
"Age_older, BS_high, DBP_high, SBP_high, Temp_normal",Risk_high,0.04434589800443459,1.0,4.026785714285714
SBP_high,Risk_high,0.09312638580931264,0.9767441860465117,3.933139534883721
"SBP_high, Temp_normal",Risk_high,0.08425720620842572,0.9743589743589745,3.923534798534799
"Age_older, SBP_high",Risk_high,0.05543237250554324,0.9615384615384616,3.8719093406593403
"Age_older, SBP_high, Temp_normal",Risk_high,0.04878048780487805,0.9565217391304348,3.8517080745341614
"Age_older, BS_high, DBP_high",Risk_high,0.06430155210643015,0.7073170731707317,2.8482142857142856
"Age_older, BS_high, DBP_high, Temp_normal",Risk_high,0.06208425720620843,0.7,2.8187499999999996
"Age_older, DBP_high",Risk_high,0.06873614190687362,0.62,2.4966071428571426
"Age_older, DBP_high, Temp_normal",Risk_high,0.06430155210643015,0.6170212765957447,2.484612462006079
"Age_adult, DBP_normal, SBP_elevated, Temp_normal",Risk_mid,0.031042128603104215,0.5384615384615385,2.29100145137881
"Age_adult, DBP_normal, SBP_elevated",Risk_mid,0.03325942350332594,0.5357142857142856,2.279312668463611
"BS_high, DBP_normal, Temp_fever",Risk_high,0.05543237250554324,0.5555555555555556,2.2371031746031744
"BS_high, Temp_fever",Risk_high,0.06873614190687362,0.5438596491228072,2.190006265664161
"BS_high, DBP_high",Risk_high,0.09312638580931264,0.5384615384615384,2.1682692307692304
"BS_high, DBP_normal, SBP_normal, Temp_fever",Risk_high,0.050997782705099776,0.5348837209302326,2.1538621262458473
"BS_high, SBP_normal, Temp_fever",Risk_high,0.050997782705099776,0.5348837209302326,2.1538621262458473
"BS_high, DBP_high, Temp_normal",Risk_high,0.08869179600886919,0.5333333333333334,2.147619047619048
