Employee_ID,Department,Experience_Years,Age,Salary,Performance_Score,Work_Hours,Overtime,Satisfaction_Level
1,Sales,4,53,51393,5.6,37.7,No,6.6
2,Finance,16,37,49788,5.4,49.0,Yes,4.9
3,Marketing,13,29,71135,10.0,40.9,No,6.7
4,Finance,20,59,63651,9.1,45.4,Yes,4.7
5,Finance,2,33,72303,5.2,37.4,No,6.2
6,HR,0,45,34390,6.6,40.2,No,7.3
7,Marketing,19,49,52488,7.7,33.8,No,5.7
8,Marketing,20,29,88605,1.3,43.1,Yes,3.5
9,Marketing,0,49,68287,9.1,41.0,No,6.3
10,Finance,2,57,64433,8.7,35.5,No,6.2
11,Sales,17,47,70618,5.1,35.6,No,7.5
12,Marketing,9,29,93126,4.5,48.1,Yes,5.1
13,Finance,2,49,89970,3.5,49.9,Yes,4.4
14,HR,7,49,36307,5.3,38.9,No,6.0
15,Sales,13,58,41842,1.4,40.3,No,7.1
16,HR,17,57,35798,8.7,42.0,No,6.4
17,Sales,14,48,48793,1.3,40.7,No,3.5
18,Finance,1,38,60823,4.0,31.6,No,7.0
19,Engineering,9,30,63630,9.4,42.1,Yes,6.0
20,Sales,1,54,37042,7.6,29.6,No,7.0
21,HR,16,41,31989,3.5,36.3,No,5.8
22,Finance,7,34,48528,3.3,42.5,Yes,6.9
23,Sales,0,49,73742,1.0,43.0,Yes,6.9
24,Engineering,8,50,76355,7.3,35.9,No,4.2
25,Engineering,10,34,85587,1.4,37.7,No,5.4
26,Marketing,15,56,59515,5.8,37.0,No,6.2
27,Marketing,6,27,72422,9.7,39.5,No,7.0
28,HR,9,39,75148,2.0,39.9,No,6.0
29,Sales,2,26,52547,9.1,43.3,Yes,5.0
30,Sales,17,46,65817,9.9,37.4,No,7.0
31,Marketing,12,23,69880,1.6,41.9,No,5.6
32,Sales,6,31,46362,8.9,42.5,Yes,5.6
33,Sales,3,51,84631,5.6,41.0,No,5.9
34,Engineering,12,26,59417,9.2,38.7,No,6.7
35,Marketing,19,54,61305,6.1,40.9,No,5.6
36,Finance,0,22,45789,7.0,43.8,Yes,6.3
37,Marketing,7,39,48308,5.9,44.2,Yes,5.5
38,Finance,13,53,27052,8.8,49.1,Yes,4.0
39,Engineering,15,32,60827,7.6,35.0,No,6.5
40,HR,13,42,97585,5.7,37.8,No,5.2
41,Sales,11,47,44720,8.8,31.9,No,6.9
42,Engineering,18,46,104642,3.2,44.7,Yes,6.4
43,Sales,14,43,81213,2.4,38.3,No,5.1
44,HR,1,48,52896,2.4,41.0,No,6.3
45,HR,1,34,60408,4.0,37.0,No,5.5
46,Engineering,18,54,57973,3.1,38.4,No,6.4
47,HR,16,55,85592,9.4,46.1,Yes,6.3
48,Finance,19,56,67755,2.0,43.5,Yes,3.5
49,HR,9,22,77729,7.3,39.4,No,4.9
50,Sales,5,42,65372,2.7,43.8,Yes,5.3
51,Sales,14,27,58320,8.9,43.9,Yes,5.9
52,Sales,10,49,64896,9.7,38.0,No,6.0
53,Sales,4,38,53895,5.2,32.7,No,6.7
54,Finance,0,26,38216,8.9,35.5,No,8.5
55,Marketing,7,52,72205,1.0,33.3,No,5.5
56,Engineering,20,26,37482,8.4,45.8,Yes,6.6
57,Sales,11,59,55967,3.1,46.7,Yes,5.0
58,HR,11,24,53402,9.2,47.9,Yes,5.8
59,Sales,4,44,69650,1.0,29.9,No,9.1
60,HR,6,58,83470,6.0,45.4,Yes,6.1
61,HR,3,58,78074,7.8,51.1,Yes,5.3
62,Sales,5,31,70086,3.3,45.6,Yes,7.0
63,Finance,12,31,50551,2.7,29.2,No,8.2
64,HR,19,40,57247,1.8,48.8,Yes,4.3
65,HR,14,38,55060,3.9,40.2,No,6.3
66,Sales,2,42,52945,6.0,38.8,No,4.4
67,HR,7,35,53963,2.0,42.3,Yes,5.2
68,HR,19,30,53562,4.4,34.8,No,6.8
69,Sales,15,22,52898,1.1,40.0,No,5.4
70,Sales,12,34,74278,8.4,48.1,Yes,5.5
71,Engineering,17,25,44180,2.2,43.1,Yes,5.7
72,Finance,9,22,49057,3.6,40.3,No,6.5
73,Finance,18,53,36248,1.2,40.4,No,5.5
74,HR,16,55,81232,4.9,34.1,No,5.6
75,Finance,18,49,48052,8.6,39.3,No,7.5
76,HR,4,52,69911,4.5,31.8,No,6.3
77,Engineering,20,29,67129,2.6,45.1,Yes,6.2
78,Sales,8,47,79782,7.8,29.1,No,8.5
79,Sales,11,55,56849,8.1,44.3,Yes,5.7
80,Sales,20,24,45786,2.6,44.9,Yes,4.7
81,Finance,0,33,36663,7.9,46.6,Yes,5.2
82,Engineering,0,22,18230,9.5,40.4,No,7.0
83,Finance,14,26,62420,2.5,44.6,Yes,5.7
84,Finance,1,51,71632,7.9,39.2,No,4.9
85,Engineering,15,51,67075,7.4,34.1,No,7.2
86,Engineering,7,38,37053,5.3,47.7,Yes,6.0
87,Engineering,12,44,75582,1.5,39.5,No,5.7
88,Engineering,20,36,49526,1.7,33.0,No,7.3
89,Sales,0,58,46396,8.7,37.7,No,6.5
90,Marketing,15,42,49190,9.9,37.9,No,6.0
91,Marketing,6,35,61176,7.1,42.3,Yes,4.5
92,Engineering,4,23,37729,5.0,51.7,Yes,5.9
93,Marketing,2,32,59444,6.8,42.6,Yes,6.5
94,Marketing,11,59,66441,6.3,41.0,No,6.5
95,Engineering,15,55,76609,4.5,52.3,Yes,6.3
96,Marketing,18,59,62639,1.6,44.9,Yes,6.5
97,Finance,4,55,39905,8.4,41.3,No,6.6
98,HR,13,39,62233,4.3,37.6,No,4.0
99,HR,4,51,44096,8.4,41.6,No,7.0
100,Engineering,14,36,43230,3.3,39.7,No,6.1
101,Sales,16,48,39559,1.0,40.5,No,6.3
102,Engineering,13,55,31331,2.4,46.6,Yes,5.7
103,Sales,19,59,51492,5.2,37.3,No,7.0
104,HR,4,54,76933,9.5,42.6,Yes,6.9
105,Engineering,11,45,93847,1.9,44.7,Yes,6.2
106,Finance,15,36,51396,8.7,36.7,No,6.8
107,Marketing,15,51,76291,5.7,35.9,No,6.6
108,Sales,20,38,54081,8.4,39.2,No,2.7
109,Marketing,6,26,35238,3.7,37.7,No,5.9
110,Marketing,3,50,70514,8.6,45.8,Yes,4.5
111,Engineering,0,25,63522,8.0,35.0,No,7.7
112,Marketing,4,31,87270,3.1,40.3,No,6.6
113,Finance,9,38,36979,2.2,52.7,Yes,4.3
114,Marketing,4,31,101940,8.8,42.1,Yes,5.4
115,Engineering,3,38,83875,9.7,42.9,Yes,5.3
116,Finance,1,41,59731,1.3,45.8,Yes,5.0
117,HR,19,45,55520,7.6,37.7,No,4.8
118,Marketing,9,26,49262,9.2,34.6,No,4.9
