Temperature,Pressure,Tensile_Strength
150,Low,97.48357076505616
150,Low,94.30867849414408
150,Low,98.23844269050346
150,Low,102.61514928204012
150,Low,93.82923312638331
150,High,103.8293152152541
150,High,112.89606407753696
150,High,108.83717364576455
150,High,102.65262807032524
150,High,107.71280021792982
175,Low,100.18291153593769
175,Low,100.17135123214871
175,Low,103.70981135783018
175,Low,92.93359877671101
175,Low,93.87541083743484
175,High,109.68856235379513
175,High,107.43584439832789
175,High,114.07123666297637
175,High,107.95987962239394
175,High,105.43848149332354
200,Low,117.32824384460777
200,Low,108.87111849756732
200,Low,110.33764102343962
200,Low,102.87625906893271
200,Low,107.27808637737408
200,High,120.55461294854933
200,High,114.24503211288848
200,High,121.87849009172837
200,High,116.99680655040598
200,High,118.54153125103362
